City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,trincomalee,8.5711,81.2335,26.63,81,13,5.01,LK,1738371897
297,jumla,29.2747,82.1838,-0.5,17,0,3.45,NP,1738371898
298,zapresic,45.8564,15.8078,6.14,77,100,2.43,HR,1738371899
299,yeysk,46.6989,38.2792,4.01,87,100,4.02,RU,1738371900
300,beyneu,45.3167,55.2,0.57,79,79,3.23,KZ,1738371901
301,kargasok,59.0556,80.8572,-28.36,100,97,1.38,RU,1738371902
302,nushki,29.5542,66.0215,3.71,64,0,0.12,PK,1738371903
303,lubz,53.4626,12.0292,2.28,89,100,3.01,DE,1738371905
304,petauke,-14.2426,31.3253,17.77,95,88,1.12,ZM,1738371906
305,cadale,2.7603,46.3222,23.18,81,6,8.32,SO,1738371907
306,flying fish cove,-10.4217,105.6791,26.82,89,100,5.66,CX,1738371908
307,silchar,24.8167,92.8,15.43,86,0,1.94,IN,1738371909
308,vilyuchinsk,52.9306,158.4028,-1.85,69,100,2.6,RU,1738371911
309,petrinja,45.4375,16.29,6.55,74,100,3.47,HR,1738371912
310,alaghsas,17.0187,8.0168,18.29,20,100,6.37,NE,1738371913
311,alindao,5.0267,21.2088,23.93,28,5,1.77,CF,1738371914
312,gizo,-8.103,156.8419,29.35,72,100,6.2,SB,1738371915
313,frontera,26.9333,-101.45,20.74,17,0,1.34,MX,1738371918
314,grande prairie,55.1667,-118.8027,-18.9,71,100,3.6,CA,1738371802
315,goz beida,13.95,20.55,17.1,18,5,3.16,TD,1738371920
316,brisas de zicatela,15.8369,-97.0419,25.89,74,0,0.8,MX,1738371922
317,porto novo,6.4965,2.6036,28.9,79,18,3.28,BJ,1738371923
318,mount gambier,-37.8333,140.7667,27.97,25,0,1.13,AU,1738371926
319,coatzintla,20.4833,-97.45,22.32,78,100,3.09,MX,1738371927
320,kolondieba,11.0882,-6.8926,22.55,16,4,2.48,ML,1738371928
321,nova sintra,14.8667,-24.7167,22.47,71,0,11.56,CV,1738371929
322,buckhannon,38.994,-80.232,11.49,85,100,5.66,US,1738371930
323,manay,7.215,126.5397,27.6,68,6,2.95,PH,1738371931
324,tralee,52.2704,-9.7026,5.47,93,100,3.61,IE,1738371932
325,manturovo,58.3353,44.7619,-0.39,94,100,3.07,RU,1738371933
326,'alaqahdari dishu,30.4374,63.313,3.66,56,0,2.84,AF,1738371934
327,santo antonio,-6.3106,-35.4789,25.59,65,2,3.19,BR,1738371936
328,nagqu,31.5,92.0,-3.2,7,0,10.38,CN,1738371937
329,as sulayyil,20.4607,45.5779,12.41,45,0,2.6,SA,1738371938
330,port saint john's,-31.6229,29.5448,22.43,90,100,3.81,ZA,1738371939
331,belmopan,17.25,-88.7667,22.86,97,0,1.27,BZ,1738371833
332,crockett,31.3182,-95.4566,11.99,62,0,0.0,US,1738371942
333,island harbour,50.724,-1.2758,6.78,90,76,0.45,GB,1738371943
334,borogontsy,62.6683,131.1683,-41.4,100,83,0.56,RU,1738371944
335,praia da vitoria,38.7333,-27.0667,18.14,88,75,9.93,PT,1738371945
336,cockburn town,21.4612,-71.1419,25.14,84,28,11.53,TC,1738371946
337,luz,-19.8014,-45.6856,20.9,90,100,0.98,BR,1738371947
338,kingscliff,-28.2667,153.5667,28.89,70,75,7.72,AU,1738371948
339,bay roberts,47.5999,-53.2648,-3.3,89,100,2.24,CA,1738371949
